Symbol,Name,LastSale, MarketCap ,ADR TSO,IPOyear,Sector,Industry,Summary Quote
GAIN,Gladstone Investment Corporation,11.7," 384,022,770 ",n/a,2005,n/a,n/a,https://www.nasdaq.com/symbol/gain
GNMK,"GenMark Diagnostics, Inc.",6.76," 385,513,018 ",n/a,2010,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/gnmk
APPS,"Digital Turbine, Inc.",4.72," 385,546,880 ",n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/apps
SRNE,"Sorrento Therapeutics, Inc.",3.15," 386,034,737 ",n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/srne
ACHN,"Achillion Pharmaceuticals, Inc.",2.79," 387,043,660 ",n/a,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn
FRGI,"Fiesta Restaurant Group, Inc.",14.12," 387,625,375 ",n/a,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/frgi
IESC,"IES Holdings, Inc.",18.34," 387,679,833 ",n/a,n/a,Capital Goods,Engineering & Construction,https://www.nasdaq.com/symbol/iesc
HIIQ,"Health Insurance Innovations, Inc.",27.87," 388,211,096 ",n/a,2013,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/hiiq
FDUS,Fidus Investment Corporation,15.92," 389,452,854 ",n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/fdus
SCVL,"Shoe Carnival, Inc.",26.57," 390,332,988 ",n/a,1993,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/scvl
CPRX,"Catalyst Pharmaceuticals, Inc.",3.8," 390,846,177 ",n/a,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cprx
FMNB,Farmers National Banc Corp.,14.08," 391,620,500 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fmnb
PKOH,Park-Ohio Holdings Corp.,31.06," 392,352,684 ",n/a,n/a,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/pkoh
ALBO,"Albireo Pharma, Inc.",32.63," 392,842,522 ",n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo
KRYS,"Krystal Biotech, Inc.",27.2," 392,865,077 ",n/a,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/krys
RBB,RBB Bancorp,19.58," 393,048,744 ",n/a,2017,Finance,Major Banks,https://www.nasdaq.com/symbol/rbb
BSRR,Sierra Bancorp,25.74," 394,553,788 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bsrr
SPKE,"Spark Energy, Inc.",11.33," 395,891,410 ",n/a,2014,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/spke
CATC,Cambridge Bancorp,81.71," 395,987,088 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/catc
HIFS,Hingham Institution for Savings,185.75," 396,158,313 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hifs
LE,"Lands&#39; End, Inc.",12.24," 396,173,096 ",n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/le
AMNB,"American National Bankshares, Inc.",35.52," 396,690,770 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amnb
ACIU,AC Immune SA,5.88," 397,266,518 ",n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu
REPL,"Replimune Group, Inc.",12.59," 398,433,212 ",n/a,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/repl
MNOV,"MediciNova, Inc.",9.33," 401,760,632 ",n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mnov
COLL,"Collegium Pharmaceutical, Inc.",12.05," 402,309,398 ",n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/coll
HIBB,"Hibbett Sports, Inc.",22.02," 404,834,067 ",n/a,1996,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/hibb
CLAR,Clarus Corporation,13.56," 405,321,865 ",n/a,n/a,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/clar
LMRK,Landmark Infrastructure Partners LP,16.01," 405,668,296 ",n/a,2014,Consumer Services,Real Estate,https://www.nasdaq.com/symbol/lmrk
EQBK,"Equity Bancshares, Inc.",25.78," 405,793,106 ",n/a,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/eqbk
CCNE,CNB Financial Corporation,26.74," 407,500,781 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ccne
PDFS,"PDF Solutions, Inc.",12.62," 409,250,345 ",n/a,2001,Technology,EDP Services,https://www.nasdaq.com/symbol/pdfs
BSTC,BioSpecifics Technologies Corp,56.17," 409,305,285 ",n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bstc
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,29.88," 409,356,000 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ifgl
MGIC,Magic Software Enterprises Ltd.,8.4," 410,684,719 ",n/a,1991,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mgic
SPTN,SpartanNash Company,11.31," 410,709,383 ",n/a,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/sptn
SGRY,"Surgery Partners, Inc.",8.32," 411,241,817 ",n/a,2015,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/sgry
THOR,"Synthorx, Inc.",12.8," 411,420,339 ",n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/thor
DGICB,"Donegal Group, Inc.",14.5," 412,189,499 ",n/a,1986,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/dgicb
FLXN,"Flexion Therapeutics, Inc.",10.89," 413,739,752 ",n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/flxn
CCBG,Capital City Bank Group,24.66," 414,595,880 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ccbg
ACBI,"Atlantic Capital Bancshares, Inc.",17.22," 415,076,235 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acbi
TACO,"Del Taco Restaurants, Inc.",11.3," 415,224,523 ",n/a,2014,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/taco
NODK,"NI Holdings, Inc.",18.7," 415,313,817 ",n/a,2017,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nodk
VRIG,Invesco Variable Rate Investment Grade ETF,24.91," 415,997,025 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vrig
VNET,"21Vianet Group, Inc.",6.68," 416,016,566 ",62277929,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
DGICA,"Donegal Group, Inc.",14.65," 416,453,528 ",n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/dgica
USWS,"U.S. Well Services, Inc.",6.1," 417,104,007 ",n/a,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/usws
FLNT,"Fluent, Inc.",5.45," 417,105,046 ",n/a,n/a,Consumer Services,Advertising,https://www.nasdaq.com/symbol/flnt
CLXT,"Calyxt, Inc.",12.9," 421,860,173 ",n/a,2017,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/clxt
VRA,"Vera Bradley, Inc.",12.31," 422,158,377 ",n/a,2010,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/vra
POWL,"Powell Industries, Inc.",36.75," 424,556,139 ",n/a,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/powl
KLDO,"Kaleido Biosciences, Inc.",14.26," 425,057,845 ",n/a,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/kldo
PNNT,PennantPark Investment Corporation,6.36," 426,406,868 ",n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/pnnt
