As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Oct 09, 2015","1,937.49",109.34,--,"245,900,000.00"
"Oct 08, 2015","1,936.25",109.28,--,"245,700,000.00"
"Oct 07, 2015","1,940.33",109.51,--,"245,400,000.00"
"Oct 06, 2015","1,941.08",109.56,--,"244,100,000.00"
"Oct 05, 2015","1,938.20",109.40,--,"243,800,000.00"
"Oct 02, 2015","1,942.76",109.65,--,"243,600,000.00"
"Oct 01, 2015","1,937.67",109.37,0.21,"243,300,000.00"
"Sep 30, 2015","1,936.43",109.50,--,"242,900,000.00"
"Sep 29, 2015","1,936.71",109.51,--,"242,700,000.00"
"Sep 28, 2015","1,934.72",109.40,--,"242,700,000.00"
"Sep 25, 2015","1,929.59",109.11,--,"242,700,000.00"
"Sep 24, 2015","1,933.78",109.34,--,"242,700,000.00"
"Sep 23, 2015","1,932.32",109.26,--,"242,700,000.00"
"Sep 22, 2015","1,933.77",109.35,--,"242,500,000.00"
"Sep 21, 2015","1,926.41",108.93,--,"243,100,000.00"
"Sep 18, 2015","1,934.26",109.37,--,"243,100,000.00"
"Sep 17, 2015","1,926.62",108.94,--,"243,100,000.00"
"Sep 16, 2015","1,917.21",108.41,--,"242,900,000.00"
"Sep 15, 2015","1,918.23",108.47,--,"242,700,000.00"
"Sep 14, 2015","1,927.80",109.01,--,"242,500,000.00"
"Sep 11, 2015","1,927.61",109.00,--,"242,300,000.00"
"Sep 10, 2015","1,924.28",108.81,--,"240,300,000.00"
"Sep 09, 2015","1,927.57",109.00,--,"239,600,000.00"
"Sep 08, 2015","1,924.73",108.84,--,"239,400,000.00"
"Sep 04, 2015","1,929.86",109.14,--,"239,400,000.00"
"Sep 03, 2015","1,926.28",108.93,--,"239,400,000.00"
"Sep 02, 2015","1,923.09",108.75,--,"237,500,000.00"
"Sep 01, 2015","1,925.13",108.87,0.22,"237,500,000.00"
"Aug 31, 2015","1,923.42",109.00,--,"238,200,000.00"
"Aug 28, 2015","1,924.58",109.06,--,"238,700,000.00"
"Aug 27, 2015","1,926.17",109.15,--,"238,400,000.00"
"Aug 26, 2015","1,923.97",109.03,--,"237,700,000.00"
"Aug 25, 2015","1,927.04",109.20,--,"237,100,000.00"
"Aug 24, 2015","1,938.83",109.87,--,"236,800,000.00"
"Aug 21, 2015","1,935.92",109.71,--,"237,200,000.00"
"Aug 20, 2015","1,933.73",109.59,--,"237,200,000.00"
"Aug 19, 2015","1,930.96",109.42,--,"236,600,000.00"
"Aug 18, 2015","1,924.94",109.09,--,"236,400,000.00"
"Aug 17, 2015","1,928.71",109.30,--,"236,400,000.00"
"Aug 14, 2015","1,924.64",109.07,--,"236,200,000.00"
"Aug 13, 2015","1,925.41",109.12,--,"236,400,000.00"
"Aug 12, 2015","1,930.58",109.41,--,"236,200,000.00"
"Aug 11, 2015","1,930.92",109.43,--,"236,200,000.00"
"Aug 10, 2015","1,922.38",108.94,--,"236,200,000.00"
"Aug 07, 2015","1,927.35",109.23,--,"235,900,000.00"
"Aug 06, 2015","1,923.00",108.98,--,"235,700,000.00"
"Aug 05, 2015","1,920.10",108.82,--,"235,500,000.00"
"Aug 04, 2015","1,924.90",109.09,--,"235,500,000.00"
"Aug 03, 2015","1,930.78",109.42,0.21,"235,100,000.00"
"Jul 31, 2015","1,926.19",109.37,--,"234,900,000.00"
"Jul 30, 2015","1,920.96",109.07,--,"234,300,000.00"
"Jul 29, 2015","1,919.74",109.00,--,"233,700,000.00"
"Jul 28, 2015","1,921.70",109.11,--,"233,400,000.00"
"Jul 27, 2015","1,922.90",109.18,--,"233,900,000.00"
"Jul 24, 2015","1,920.00",109.02,--,"233,700,000.00"
"Jul 23, 2015","1,920.11",109.03,--,"233,700,000.00"
"Jul 22, 2015","1,916.71",108.83,--,"233,500,000.00"
"Jul 21, 2015","1,915.16",108.74,--,"233,500,000.00"
"Jul 20, 2015","1,912.24",108.58,--,"233,300,000.00"
"Jul 17, 2015","1,914.74",108.72,--,"233,300,000.00"
"Jul 16, 2015","1,913.66",108.65,--,"233,300,000.00"
"Jul 15, 2015","1,913.81",108.66,--,"233,300,000.00"
"Jul 14, 2015","1,909.48",108.41,--,"233,300,000.00"
"Jul 13, 2015","1,906.61",108.25,--,"233,100,000.00"
"Jul 10, 2015","1,906.79",108.26,--,"232,900,000.00"
"Jul 09, 2015","1,916.49",108.82,--,"231,600,000.00"
"Jul 08, 2015","1,925.01",109.29,--,"232,200,000.00"
"Jul 07, 2015","1,922.34",109.16,--,"232,200,000.00"
"Jul 06, 2015","1,918.65",108.94,--,"232,200,000.00"
"Jul 02, 2015","1,908.84",108.38,--,"231,400,000.00"
"Jul 01, 2015","1,905.57",108.19,0.22,"229,200,000.00"
"Jun 30, 2015","1,912.89",108.83,--,"229,400,000.00"
"Jun 29, 2015","1,912.24",108.79,--,"229,500,000.00"
"Jun 26, 2015","1,900.97",108.16,--,"229,500,000.00"
"Jun 25, 2015","1,907.58",108.58,--,"229,500,000.00"
"Jun 24, 2015","1,910.16",108.68,--,"230,000,000.00"
"Jun 23, 2015","1,906.36",108.46,--,"230,000,000.00"
"Jun 22, 2015","1,910.28",108.69,--,"230,000,000.00"
"Jun 19, 2015","1,918.29",109.15,--,"230,000,000.00"
"Jun 18, 2015","1,911.33",108.75,--,"231,000,000.00"
"Jun 17, 2015","1,914.37",108.92,--,"231,000,000.00"
"Jun 16, 2015","1,913.02",108.85,--,"231,000,000.00"
"Jun 15, 2015","1,910.11",108.68,--,"231,000,000.00"
"Jun 12, 2015","1,908.70",108.60,--,"230,500,000.00"
"Jun 11, 2015","1,909.44",108.65,--,"230,300,000.00"
"Jun 10, 2015","1,900.87",108.15,--,"230,300,000.00"
"Jun 09, 2015","1,906.42",108.47,--,"229,700,000.00"
"Jun 08, 2015","1,910.41",108.71,--,"229,700,000.00"
"Jun 05, 2015","1,907.80",108.56,--,"229,500,000.00"
"Jun 04, 2015","1,916.28",109.05,--,"229,200,000.00"
"Jun 03, 2015","1,910.67",108.73,--,"228,200,000.00"
"Jun 02, 2015","1,918.64",109.19,--,"227,400,000.00"
"Jun 01, 2015","1,924.80",109.54,0.21,"226,000,000.00"
"May 29, 2015","1,933.98",110.25,--,"225,800,000.00"
"May 28, 2015","1,930.89",110.08,--,"224,600,000.00"
"May 27, 2015","1,930.22",110.05,--,"224,600,000.00"
"May 26, 2015","1,929.90",110.03,--,"224,400,000.00"
"May 22, 2015","1,922.15",109.59,--,"223,400,000.00"
"May 21, 2015","1,926.32",109.83,--,"223,400,000.00"
"May 20, 2015","1,921.34",109.54,--,"222,800,000.00"
"May 19, 2015","1,920.85",109.51,--,"222,000,000.00"
"May 18, 2015","1,924.26",109.71,--,"222,000,000.00"
"May 15, 2015","1,931.33",110.11,--,"222,000,000.00"
"May 14, 2015","1,923.00",109.63,--,"222,700,000.00"
"May 13, 2015","1,919.49",109.44,--,"221,700,000.00"
"May 12, 2015","1,920.98",109.53,--,"220,900,000.00"
"May 11, 2015","1,919.93",109.47,--,"220,600,000.00"
"May 08, 2015","1,930.66",110.08,--,"220,300,000.00"
"May 07, 2015","1,926.75",109.85,--,"220,000,000.00"
"May 06, 2015","1,921.99",109.60,--,"219,800,000.00"
"May 05, 2015","1,927.11",109.89,--,"219,800,000.00"
"May 04, 2015","1,930.50",110.08,--,"219,400,000.00"
"May 01, 2015","1,932.34",110.19,0.21,"219,200,000.00"
"Apr 30, 2015","1,938.65",110.75,--,"218,500,000.00"
"Apr 29, 2015","1,939.82",110.82,--,"218,100,000.00"
"Apr 28, 2015","1,945.11",111.12,--,"218,100,000.00"
"Apr 27, 2015","1,949.92",111.40,--,"217,900,000.00"
"Apr 24, 2015","1,950.27",111.41,--,"217,700,000.00"
"Apr 23, 2015","1,947.65",111.27,--,"217,700,000.00"
"Apr 22, 2015","1,945.36",111.14,--,"217,700,000.00"
"Apr 21, 2015","1,950.36",111.40,--,"217,500,000.00"
"Apr 20, 2015","1,951.12",111.45,--,"217,400,000.00"
"Apr 17, 2015","1,954.95",111.67,--,"217,400,000.00"
"Apr 16, 2015","1,953.08",111.56,--,"217,000,000.00"
"Apr 15, 2015","1,951.67",111.48,--,"217,000,000.00"
"Apr 14, 2015","1,951.46",111.47,--,"216,800,000.00"
"Apr 13, 2015","1,948.46",111.30,--,"216,600,000.00"
"Apr 10, 2015","1,946.45",111.19,--,"216,400,000.00"
"Apr 09, 2015","1,946.07",111.17,--,"216,200,000.00"
"Apr 08, 2015","1,951.44",111.47,--,"216,100,000.00"
"Apr 07, 2015","1,950.82",111.44,--,"215,900,000.00"
"Apr 06, 2015","1,949.24",111.36,--,"215,800,000.00"
"Apr 02, 2015","1,948.32",111.31,--,"215,800,000.00"
"Apr 01, 2015","1,951.56",111.50,0.21,"215,800,000.00"
"Mar 31, 2015","1,945.63",111.36,--,"215,800,000.00"
"Mar 30, 2015","1,942.62",111.20,--,"215,800,000.00"
"Mar 27, 2015","1,943.39",111.24,--,"215,500,000.00"
"Mar 26, 2015","1,937.23",110.88,--,"215,200,000.00"
"Mar 25, 2015","1,944.65",111.31,--,"215,000,000.00"
"Mar 24, 2015","1,948.11",111.51,--,"215,000,000.00"
"Mar 23, 2015","1,944.74",111.29,--,"214,800,000.00"
"Mar 20, 2015","1,943.29",111.21,--,"212,100,000.00"
"Mar 19, 2015","1,939.22",110.97,--,"211,900,000.00"
"Mar 18, 2015","1,941.30",111.09,--,"211,700,000.00"
"Mar 17, 2015","1,931.26",110.52,--,"211,400,000.00"
"Mar 16, 2015","1,928.78",110.38,--,"211,200,000.00"
"Mar 13, 2015","1,928.00",110.33,--,"210,500,000.00"
"Mar 12, 2015","1,929.46",110.42,--,"210,500,000.00"
"Mar 11, 2015","1,928.09",110.34,--,"210,700,000.00"
"Mar 10, 2015","1,926.59",110.25,--,"211,400,000.00"
"Mar 09, 2015","1,921.59",109.97,--,"211,800,000.00"
"Mar 06, 2015","1,917.72",109.75,--,"211,800,000.00"
"Mar 05, 2015","1,929.05",110.40,--,"211,800,000.00"
"Mar 04, 2015","1,927.50",110.32,--,"212,400,000.00"
"Mar 03, 2015","1,926.97",110.29,--,"212,900,000.00"
"Mar 02, 2015","1,929.91",110.45,0.19,"217,600,000.00"
"Feb 27, 2015","1,936.64",111.00,--,"217,400,000.00"
"Feb 26, 2015","1,934.58",110.90,--,"217,300,000.00"
"Feb 25, 2015","1,938.47",111.13,--,"216,800,000.00"
"Feb 24, 2015","1,937.10",111.05,--,"216,800,000.00"
"Feb 23, 2015","1,930.34",110.67,--,"216,700,000.00"
"Feb 20, 2015","1,924.09",110.30,--,"216,500,000.00"
"Feb 19, 2015","1,925.44",110.38,--,"216,400,000.00"
"Feb 18, 2015","1,928.29",110.55,--,"216,300,000.00"
"Feb 17, 2015","1,921.31",110.15,--,"216,300,000.00"
"Feb 13, 2015","1,930.84",110.70,--,"216,200,000.00"
"Feb 12, 2015","1,933.37",110.85,--,"215,300,000.00"
"Feb 11, 2015","1,932.00",110.77,--,"215,200,000.00"
"Feb 10, 2015","1,931.74",110.76,--,"215,100,000.00"
"Feb 09, 2015","1,935.22",110.96,--,"214,900,000.00"
"Feb 06, 2015","1,935.38",110.97,--,"214,700,000.00"
"Feb 05, 2015","1,945.44",111.54,--,"214,500,000.00"
"Feb 04, 2015","1,946.46",111.60,--,"214,500,000.00"
"Feb 03, 2015","1,947.34",111.65,--,"214,500,000.00"
"Feb 02, 2015","1,955.55",112.13,0.18,"214,600,000.00"
"Jan 30, 2015","1,955.02",112.27,--,"214,600,000.00"
"Jan 29, 2015","1,948.51",111.89,--,"214,200,000.00"
"Jan 28, 2015","1,951.07",112.04,--,"214,200,000.00"
"Jan 27, 2015","1,943.10",111.57,--,"214,000,000.00"
"Jan 26, 2015","1,942.39",111.54,--,"213,800,000.00"
"Jan 23, 2015","1,943.59",111.60,--,"213,600,000.00"
"Jan 22, 2015","1,937.13",111.23,--,"213,200,000.00"
"Jan 21, 2015","1,938.80",111.33,--,"213,000,000.00"
"Jan 20, 2015","1,942.19",111.52,--,"212,800,000.00"
"Jan 16, 2015","1,940.79",111.44,--,"213,300,000.00"
"Jan 15, 2015","1,945.93",111.72,--,"213,300,000.00"
"Jan 14, 2015","1,941.08",111.44,--,"213,900,000.00"
"Jan 13, 2015","1,937.67",111.25,--,"215,200,000.00"
"Jan 12, 2015","1,936.14",111.16,--,"215,200,000.00"
"Jan 09, 2015","1,931.54",110.90,--,"215,200,000.00"
"Jan 08, 2015","1,927.80",110.68,--,"215,200,000.00"
"Jan 07, 2015","1,931.91",110.93,--,"215,000,000.00"
"Jan 06, 2015","1,931.52",110.89,--,"214,700,000.00"
"Jan 05, 2015","1,925.40",110.54,--,"212,500,000.00"
"Jan 02, 2015","1,919.31",110.19,--,"211,700,000.00"
"Dec 31, 2014","1,914.87",109.93,--,"211,500,000.00"
"Dec 30, 2014","1,913.34",109.85,--,"211,300,000.00"
"Dec 29, 2014","1,911.70",109.75,--,"211,300,000.00"
"Dec 26, 2014","1,907.87",109.53,--,"211,300,000.00"
"Dec 24, 2014","1,906.38",109.45,0.37,"211,300,000.00"
"Dec 23, 2014","1,905.80",109.78,--,"209,500,000.00"
"Dec 22, 2014","1,913.10",110.21,--,"208,400,000.00"
"Dec 19, 2014","1,911.42",110.10,--,"208,100,000.00"
"Dec 18, 2014","1,908.92",109.96,--,"207,300,000.00"
"Dec 17, 2014","1,911.28",110.10,--,"207,100,000.00"
"Dec 16, 2014","1,915.90",110.36,--,"199,800,000.00"
"Dec 15, 2014","1,913.76",110.24,--,"199,600,000.00"
"Dec 12, 2014","1,916.65",110.39,--,"199,300,000.00"
"Dec 11, 2014","1,911.12",110.08,--,"199,100,000.00"
"Dec 10, 2014","1,912.46",110.15,--,"198,500,000.00"
"Dec 09, 2014","1,908.97",109.95,--,"198,300,000.00"
"Dec 08, 2014","1,907.04",109.84,--,"198,300,000.00"
"Dec 05, 2014","1,902.92",109.60,--,"196,700,000.00"
"Dec 04, 2014","1,907.69",109.87,--,"196,500,000.00"
"Dec 03, 2014","1,905.10",109.72,--,"196,300,000.00"
"Dec 02, 2014","1,905.15",109.72,--,"196,300,000.00"
"Dec 01, 2014","1,910.93",110.10,0.28,"196,300,000.00"
"Nov 28, 2014","1,913.08",110.44,--,"196,300,000.00"
"Nov 26, 2014","1,910.00",110.28,--,"196,300,000.00"
"Nov 25, 2014","1,908.27",110.18,--,"196,500,000.00"
"Nov 24, 2014","1,904.11",109.93,--,"196,300,000.00"
"Nov 21, 2014","1,902.57",109.85,--,"196,100,000.00"
"Nov 20, 2014","1,899.75",109.69,--,"195,900,000.00"
"Nov 19, 2014","1,897.79",109.57,--,"195,700,000.00"
"Nov 18, 2014","1,900.28",109.71,--,"194,300,000.00"
"Nov 17, 2014","1,899.77",109.69,--,"194,100,000.00"
"Nov 14, 2014","1,900.82",109.75,--,"193,900,000.00"
"Nov 13, 2014","1,898.88",109.64,--,"193,900,000.00"
"Nov 12, 2014","1,897.99",109.58,--,"193,900,000.00"
"Nov 11, 2014",--,109.55,--,"193,900,000.00"
"Nov 10, 2014","1,897.28",109.54,--,"193,900,000.00"
"Nov 07, 2014","1,901.06",109.75,--,"193,800,000.00"
"Nov 06, 2014","1,896.04",109.47,--,"193,800,000.00"
"Nov 05, 2014","1,898.05",109.59,--,"193,300,000.00"
"Nov 04, 2014","1,898.52",109.61,--,"193,100,000.00"
"Nov 03, 2014","1,898.28",109.60,0.19,"192,900,000.00"
"Oct 31, 2014","1,899.60",109.86,--,"192,100,000.00"
"Oct 30, 2014","1,901.67",109.98,--,"191,900,000.00"
"Oct 29, 2014","1,900.15",109.89,--,"191,400,000.00"
"Oct 28, 2014","1,903.45",110.09,--,"191,200,000.00"
"Oct 27, 2014","1,905.43",110.21,--,"191,000,000.00"
"Oct 24, 2014","1,903.64",110.10,--,"190,700,000.00"
"Oct 23, 2014","1,903.54",110.09,--,"187,800,000.00"
"Oct 22, 2014","1,907.63",110.33,--,"187,000,000.00"
"Oct 21, 2014","1,909.34",110.43,--,"186,400,000.00"
"Oct 20, 2014","1,910.58",110.50,--,"185,700,000.00"
"Oct 17, 2014","1,908.51",110.38,--,"185,000,000.00"
"Oct 16, 2014","1,910.40",110.50,--,"184,900,000.00"
"Oct 15, 2014","1,916.87",110.87,--,"184,000,000.00"
"Oct 14, 2014","1,907.91",110.36,--,"183,700,000.00"
"Oct 13, 2014",--,109.91,--,"183,700,000.00"
"Oct 10, 2014","1,899.96",109.89,--,"184,100,000.00"
"Oct 09, 2014","1,899.13",109.84,--,"183,700,000.00"
"Oct 08, 2014","1,899.33",109.84,--,"183,500,000.00"
"Oct 07, 2014","1,896.81",109.70,--,"183,500,000.00"
"Oct 06, 2014","1,890.99",109.36,--,"183,100,000.00"
"Oct 03, 2014","1,888.08",109.19,--,"180,200,000.00"
"Oct 02, 2014","1,888.14",109.19,--,"176,200,000.00"
"Oct 01, 2014","1,890.44",109.33,0.19,"176,200,000.00"
"Sep 30, 2014","1,881.11",108.98,--,"173,000,000.00"
"Sep 29, 2014","1,882.74",109.08,--,"169,300,000.00"
"Sep 26, 2014","1,880.40",108.94,--,"169,100,000.00"
"Sep 25, 2014","1,882.77",109.09,--,"168,900,000.00"
"Sep 24, 2014","1,878.22",108.81,--,"168,900,000.00"
"Sep 23, 2014","1,881.09",108.99,--,"168,900,000.00"
"Sep 22, 2014","1,878.52",108.84,--,"168,900,000.00"
"Sep 19, 2014","1,876.24",108.71,--,"168,600,000.00"
"Sep 18, 2014","1,872.43",108.48,--,"168,400,000.00"
"Sep 17, 2014","1,873.62",108.56,--,"168,400,000.00"
"Sep 16, 2014","1,874.98",108.63,--,"168,200,000.00"
"Sep 15, 2014","1,874.77",108.62,--,"167,800,000.00"
"Sep 12, 2014","1,873.04",108.52,--,"167,700,000.00"
"Sep 11, 2014","1,879.46",108.90,--,"167,500,000.00"
"Sep 10, 2014","1,878.90",108.87,--,"167,300,000.00"
"Sep 09, 2014","1,882.17",109.05,--,"166,300,000.00"
"Sep 08, 2014","1,885.07",109.22,--,"166,100,000.00"
"Sep 05, 2014","1,885.18",109.23,--,"166,100,000.00"
"Sep 04, 2014","1,885.99",109.28,--,"166,100,000.00"
"Sep 03, 2014","1,889.23",109.47,--,"166,100,000.00"
"Sep 02, 2014","1,888.09",109.41,0.19,"165,900,000.00"
"Aug 29, 2014","1,893.97",109.93,--,"165,900,000.00"
"Aug 28, 2014","1,893.88",109.94,--,"166,400,000.00"
"Aug 27, 2014","1,891.47",109.79,--,"166,400,000.00"
"Aug 26, 2014","1,888.46",109.62,--,"166,400,000.00"
"Aug 25, 2014","1,888.38",109.61,--,"168,900,000.00"
"Aug 22, 2014","1,887.14",109.54,--,"168,900,000.00"
"Aug 21, 2014","1,886.67",109.51,--,"168,900,000.00"
"Aug 20, 2014","1,884.25",109.37,--,"168,900,000.00"
"Aug 19, 2014","1,885.96",109.47,--,"168,900,000.00"
"Aug 18, 2014","1,887.48",109.56,--,"168,700,000.00"
"Aug 15, 2014","1,891.33",109.78,--,"168,000,000.00"
"Aug 14, 2014","1,887.24",109.55,--,"167,800,000.00"
"Aug 13, 2014","1,884.47",109.39,--,"166,100,000.00"
"Aug 12, 2014","1,881.37",109.21,--,"165,900,000.00"
"Aug 11, 2014","1,882.79",109.29,--,"165,500,000.00"
"Aug 08, 2014","1,882.94",109.29,--,"165,300,000.00"
"Aug 07, 2014","1,883.12",109.31,--,"165,300,000.00"
"Aug 06, 2014","1,879.19",109.07,--,"165,300,000.00"
"Aug 05, 2014","1,879.30",109.08,--,"165,300,000.00"
"Aug 04, 2014","1,878.98",109.06,--,"164,900,000.00"
"Aug 01, 2014","1,877.75",108.98,0.20,"164,900,000.00"
"Jul 31, 2014","1,873.29",108.94,--,"164,700,000.00"
"Jul 30, 2014","1,873.53",108.94,--,"162,700,000.00"
"Jul 29, 2014","1,881.06",109.38,--,"162,500,000.00"
"Jul 28, 2014","1,878.50",109.23,--,"162,400,000.00"
"Jul 25, 2014","1,879.94",109.31,--,"162,100,000.00"
"Jul 24, 2014","1,876.33",109.10,--,"162,000,000.00"
"Jul 23, 2014","1,880.43",109.34,--,"161,800,000.00"
"Jul 22, 2014","1,880.49",109.33,--,"163,200,000.00"
"Jul 21, 2014","1,878.92",109.24,--,"163,000,000.00"
"Jul 18, 2014","1,878.25",109.20,--,"163,000,000.00"
"Jul 17, 2014","1,879.04",109.25,--,"162,800,000.00"
"Jul 16, 2014","1,874.15",108.96,--,"162,600,000.00"
"Jul 15, 2014","1,873.84",108.94,--,"162,400,000.00"
"Jul 14, 2014","1,874.46",108.98,--,"162,400,000.00"
"Jul 11, 2014","1,877.00",109.13,--,"162,200,000.00"
"Jul 10, 2014","1,875.47",109.04,--,"162,200,000.00"
"Jul 09, 2014","1,874.43",108.98,--,"162,200,000.00"
"Jul 08, 2014","1,872.74",108.88,--,"162,000,000.00"
"Jul 07, 2014","1,868.81",108.65,--,"161,700,000.00"
"Jul 03, 2014","1,866.31",108.50,--,"161,700,000.00"
"Jul 02, 2014","1,868.48",108.63,--,"161,500,000.00"
"Jul 01, 2014","1,873.83",108.94,0.20,"161,300,000.00"
"Jun 30, 2014","1,878.00",109.39,--,"160,900,000.00"
"Jun 27, 2014","1,876.16",109.27,--,"160,500,000.00"
"Jun 26, 2014","1,876.84",109.31,--,"160,300,000.00"
"Jun 25, 2014","1,873.73",109.13,--,"160,500,000.00"
"Jun 24, 2014","1,871.28",108.99,--,"160,300,000.00"
"Jun 23, 2014","1,868.61",108.83,--,"160,100,000.00"
"Jun 20, 2014","1,868.13",108.80,--,"160,200,000.00"
"Jun 19, 2014","1,867.68",108.77,--,"160,200,000.00"
"Jun 18, 2014","1,866.97",108.74,--,"160,200,000.00"
"Jun 17, 2014","1,863.64",108.54,--,"159,900,000.00"
"Jun 16, 2014","1,868.52",108.83,--,"159,500,000.00"
"Jun 13, 2014","1,867.45",108.76,--,"159,500,000.00"
"Jun 12, 2014","1,869.13",108.86,--,"160,100,000.00"
"Jun 11, 2014","1,864.43",108.59,--,"159,700,000.00"
"Jun 10, 2014","1,864.32",108.59,--,"159,500,000.00"
"Jun 09, 2014","1,866.30",108.70,--,"159,100,000.00"
"Jun 06, 2014","1,867.39",108.76,--,"158,100,000.00"
"Jun 05, 2014","1,868.22",108.81,--,"158,100,000.00"
"Jun 04, 2014","1,865.83",108.68,--,"157,900,000.00"
"Jun 03, 2014","1,866.41",108.70,--,"157,200,000.00"
"Jun 02, 2014","1,871.04",108.97,0.21,"156,600,000.00"
"May 30, 2014","1,877.03",109.54,--,"156,600,000.00"
"May 29, 2014","1,877.64",109.57,--,"156,800,000.00"
"May 28, 2014","1,879.33",109.67,--,"156,600,000.00"
"May 27, 2014","1,872.43",109.26,--,"156,400,000.00"
"May 23, 2014","1,870.10",109.12,--,"156,300,000.00"
"May 22, 2014","1,868.19",109.01,--,"156,100,000.00"
"May 21, 2014","1,869.62",109.09,--,"156,000,000.00"
"May 20, 2014","1,871.66",109.21,--,"155,800,000.00"
"May 19, 2014","1,868.99",109.06,--,"155,600,000.00"
"May 16, 2014","1,870.02",109.12,--,"155,400,000.00"
"May 15, 2014","1,871.77",109.22,--,"155,300,000.00"
"May 14, 2014","1,869.32",109.07,--,"155,300,000.00"
"May 13, 2014","1,862.52",108.68,--,"155,100,000.00"
"May 12, 2014","1,859.38",108.50,--,"155,100,000.00"
"May 09, 2014","1,861.57",108.63,--,"155,100,000.00"
"May 08, 2014","1,863.94",108.77,--,"155,100,000.00"
"May 07, 2014","1,862.91",108.70,--,"154,900,000.00"
"May 06, 2014","1,861.58",108.64,--,"154,700,000.00"
"May 05, 2014","1,859.67",108.52,--,"154,500,000.00"
"May 02, 2014","1,861.06",108.61,--,"155,000,000.00"
"May 01, 2014","1,860.07",108.55,0.20,"154,100,000.00"
"Apr 30, 2014","1,855.90",108.50,--,"154,000,000.00"
"Apr 29, 2014","1,851.40",108.23,--,"153,900,000.00"
"Apr 28, 2014","1,853.12",108.34,--,"153,900,000.00"
"Apr 25, 2014","1,853.68",108.37,--,"153,900,000.00"
"Apr 24, 2014","1,851.71",108.26,--,"154,000,000.00"
"Apr 23, 2014","1,851.32",108.23,--,"153,800,000.00"
"Apr 22, 2014","1,847.47",108.00,--,"152,700,000.00"
"Apr 21, 2014","1,847.03",107.97,--,"152,500,000.00"
"Apr 17, 2014","1,847.06",107.98,--,"152,100,000.00"
"Apr 16, 2014","1,852.91",108.32,--,"151,600,000.00"
"Apr 15, 2014","1,853.72",108.37,--,"151,400,000.00"
"Apr 14, 2014","1,853.06",108.33,--,"151,200,000.00"
"Apr 11, 2014","1,854.75",108.43,--,"151,000,000.00"
"Apr 10, 2014","1,854.00",108.38,--,"150,800,000.00"
"Apr 09, 2014","1,848.10",108.04,--,"150,800,000.00"
"Apr 08, 2014","1,847.32",108.00,--,"150,400,000.00"
"Apr 07, 2014","1,846.09",107.92,--,"150,200,000.00"
"Apr 04, 2014","1,842.68",107.73,--,"150,800,000.00"
"Apr 03, 2014","1,836.55",107.37,--,"150,800,000.00"
"Apr 02, 2014","1,834.71",107.27,--,"150,600,000.00"
"Apr 01, 2014","1,838.39",107.48,0.20,"150,400,000.00"
"Mar 31, 2014","1,840.37",107.79,--,"150,000,000.00"
"Mar 28, 2014","1,840.83",107.82,--,"150,000,000.00"
"Mar 27, 2014","1,843.68",107.99,--,"150,300,000.00"
"Mar 26, 2014","1,841.44",107.85,--,"150,600,000.00"
"Mar 25, 2014","1,837.80",107.64,--,"150,500,000.00"
"Mar 24, 2014","1,837.23",107.61,--,"150,500,000.00"
"Mar 21, 2014","1,836.04",107.53,--,"150,300,000.00"
"Mar 20, 2014","1,832.83",107.35,--,"149,900,000.00"
"Mar 19, 2014","1,833.44",107.39,--,"149,900,000.00"
"Mar 18, 2014","1,841.27",107.85,--,"149,700,000.00"
"Mar 17, 2014","1,839.37",107.74,--,"149,700,000.00"
"Mar 14, 2014","1,843.31",107.98,--,"150,500,000.00"
"Mar 13, 2014","1,843.63",108.00,--,"150,500,000.00"
"Mar 12, 2014","1,837.66",107.64,--,"150,300,000.00"
"Mar 11, 2014","1,834.79",107.47,--,"149,400,000.00"
"Mar 10, 2014","1,833.75",107.41,--,"149,000,000.00"
"Mar 07, 2014","1,832.95",107.36,--,"149,000,000.00"
"Mar 06, 2014","1,837.47",107.62,--,"148,800,000.00"
"Mar 05, 2014","1,840.61",107.81,--,"148,600,000.00"
"Mar 04, 2014","1,840.77",107.81,--,"148,200,000.00"
"Mar 03, 2014","1,847.07",108.19,0.20,"147,700,000.00"
"Feb 28, 2014","1,843.51",108.19,--,"147,700,000.00"
"Feb 27, 2014","1,844.35",108.23,--,"147,100,000.00"
"Feb 26, 2014","1,841.38",108.05,--,"147,100,000.00"
"Feb 25, 2014","1,838.81",107.89,--,"147,100,000.00"
"Feb 24, 2014","1,834.03",107.61,--,"146,900,000.00"
"Feb 21, 2014","1,834.65",107.65,--,"146,900,000.00"
"Feb 20, 2014","1,832.58",107.53,--,"146,900,000.00"
"Feb 19, 2014","1,834.54",107.65,--,"146,700,000.00"
"Feb 18, 2014","1,836.54",107.76,--,"146,400,000.00"
"Feb 14, 2014","1,833.27",107.58,--,"146,400,000.00"
"Feb 13, 2014","1,834.57",107.65,--,"145,700,000.00"
"Feb 12, 2014","1,829.94",107.39,--,"145,700,000.00"
"Feb 11, 2014","1,833.54",107.60,--,"145,100,000.00"
"Feb 10, 2014","1,836.52",107.77,--,"145,100,000.00"
"Feb 07, 2014","1,836.20",107.75,--,"145,100,000.00"
"Feb 06, 2014","1,832.47",107.53,--,"145,100,000.00"
"Feb 05, 2014","1,833.92",107.62,--,"145,100,000.00"
