symbol,date,nav,shares
FXE,2010-05-13,124.67567443847656,0.0
FXE,2010-05-14,123.19892883300781,0.0
FXE,2010-05-17,123.20891571044922,0.0
FXE,2010-05-18,121.50265502929688,0.0
FXE,2010-05-19,123.22886657714844,0.0
FXE,2010-05-20,124.47611999511719,0.0
FXE,2010-05-21,125.08478546142578,0.0
FXE,2010-05-24,123.1490249633789,0.0
FXE,2010-05-25,122.70999908447266,0.0
FXE,2010-05-26,121.30309295654297,0.0
FXE,2010-05-27,122.94947814941406,0.0
FXE,2010-05-28,122.1013412475586,0.0
FXE,2010-06-01,121.7620849609375,0.0
FXE,2010-06-02,121.8419189453125,0.0
FXE,2010-06-03,120.95387268066406,0.0
FXE,2010-06-04,119.01811981201172,0.0
FXE,2010-06-07,118.53917694091797,0.0
FXE,2010-06-08,118.85848999023438,0.0
FXE,2010-06-09,119.25759887695312,0.0
FXE,2010-06-10,120.78424835205078,0.0
FXE,2010-06-11,120.30529022216797,0.0
FXE,2010-06-14,121.62239074707031,0.0
FXE,2010-06-15,122.79979705810547,0.0
FXE,2010-06-16,122.36076354980469,0.0
FXE,2010-06-17,123.2188720703125,0.0
FXE,2010-06-18,123.08917999267578,0.0
FXE,2010-06-21,122.51044464111328,0.0
FXE,2010-06-22,122.11131286621094,0.0
FXE,2010-06-23,122.42064666748047,0.0
FXE,2010-06-24,122.59026336669922,0.0
FXE,2010-06-25,123.16899871826172,0.0
FXE,2010-06-28,122.0614242553711,0.0
FXE,2010-06-29,121.29312133789062,0.0
FXE,2010-06-30,121.6024398803711,0.0
FXE,2010-07-01,124.49606323242188,0.0
FXE,2010-07-02,124.8053970336914,0.0
FXE,2010-07-06,125.52381134033203,0.0
FXE,2010-07-07,125.73334503173828,0.0
FXE,2010-07-08,126.22225952148438,0.0
FXE,2010-07-09,125.7233657836914,0.0
FXE,2010-07-12,125.20451354980469,0.0
FXE,2010-07-13,126.45176696777344,0.0
FXE,2010-07-14,126.69123077392578,0.0
FXE,2010-07-15,128.6269989013672,0.0
FXE,2010-07-16,128.5371856689453,0.0
FXE,2010-07-19,128.6968536376953,0.0
FXE,2010-07-20,128.20790100097656,0.0
FXE,2010-07-21,126.9905776977539,0.0
FXE,2010-07-22,128.13807678222656,0.0
FXE,2010-07-23,128.43739318847656,0.0
FXE,2010-07-26,129.2256622314453,0.0
FXE,2010-07-27,129.29551696777344,0.0
FXE,2010-07-28,129.1558074951172,0.0
FXE,2010-07-29,130.02389526367188,0.0
FXE,2010-07-30,129.5948486328125,0.0
FXE,2010-08-02,130.97181701660156,0.0
FXE,2010-08-03,131.5804443359375,0.0
FXE,2010-08-04,130.89202880859375,0.0
FXE,2010-08-05,131.17141723632812,0.0
FXE,2010-08-06,132.1592254638672,0.0
FXE,2010-08-09,131.54055786132812,0.0
FXE,2010-08-10,131.1015167236328,0.0
FXE,2010-08-11,128.1280975341797,0.0
FXE,2010-08-12,127.53936004638672,0.0
FXE,2010-08-13,126.80101013183594,0.0
FXE,2010-08-16,127.45954895019531,0.0
FXE,2010-08-17,128.05821228027344,0.0
FXE,2010-08-18,127.85867309570312,0.0
FXE,2010-08-19,127.46952819824219,0.0
FXE,2010-08-20,126.37194061279297,0.0
FXE,2010-08-23,125.92292022705078,0.0
